ID,Title,Author,Genre,Year,ISBN
33,The Endless Road,Lucas-Carter,Adventure,2018,9780000000332
34,Dreams of Tomorrow,Harper-Mitchell,Science-Fiction,2021,9780000000349
35,The Silver Crown,Daniel-Perez,Fantasy,2015,9780000000356
36,The Forgotten King,Victoria-Roberts,Historical,2014,9780000000363
37,The Red Door,Samuel-Turner,Mystery,2020,9780000000370
38,Across the Ocean,Lucy-Phillips,Adventure,2019,9780000000387
39,The Last Star,Jack-Campbell,Science-Fiction,2022,9780000000394
40,The Whispering House,Emily-Parker,Horror,2017,9780000000400
41,The Lost Treasure,Daniel-Evans,Adventure,2016,9780000000417
42,Kingdom of Fire,Sophie-Edwards,Fantasy,2018,9780000000424
43,The Hidden Door,Noah-Collins,Mystery,2021,9780000000431
44,Memories of Yesterday,Ava-Stewart,Drama,2019,9780000000448
45,The Final Quest,Liam-Sanchez,Adventure,2020,9780000000455
46,The Shadow King,Emma-Morris,Fantasy,2015,9780000000462
47,Beyond the Horizon,William-Rogers,Adventure,2018,9780000000479
48,The Silent Witness,Chloe-Reed,Thriller,2022,9780000000486
49,The Frozen Lake,Ethan-Cook,Mystery,2017,9780000000493
50,The Book of Secrets,Aria-Morgan,Fantasy,2019,9780000000509
51,The Forgotten World,James-Bell,Science-Fiction,2021,9780000000516
52,The Last Guardian,Scarlett-Murphy,Fantasy,2016,9780000000523
53,Whispers of Rain,Henry-Bailey,Romance,2018,9780000000530
54,The Dark Horizon,Ella-Rivera,Thriller,2020,9780000000547
55,The Ancient Kingdom,Alexander-Cooper,Historical,2015,9780000000554
56,The Secret Island,Grace-Richardson,Adventure,2019,9780000000561
57,The Crystal Lake,Leo-Cox,Mystery,2022,9780000000578
58,The Last Voyage,Isla-Howard,Adventure,2017,9780000000585
59,The Star Traveler,Oscar-Ward,Science-Fiction,2020,9780000000592
60,The Midnight Forest,Ella-Torres,Fantasy,2018,9780000000608
61,The Broken Sword,Henry-Peterson,Historical,2016,9780000000615
62,The Hidden Castle,Lucy-Gray,Fantasy,2019,9780000000622
63,The Silent River,Jacob-Ramirez,Mystery,2021,9780000000639
64,The Golden Path,Amelia-James,Adventure,2015,9780000000646
65,The Dark Secret,Oliver-Watson,Thriller,2018,9780000000653
66,The Endless Night,Sophia-Brooks,Horror,2020,9780000000660
67,The Lost Prince,William-Kelly,Fantasy,2017,9780000000677
68,The Final Journey,Emily-Sanders,Adventure,2022,9780000000684
69,The Secret Code,Daniel-Price,Mystery,2019,9780000000691
70,The Silver Star,Charlotte-Bennett,Science-Fiction,2021,9780000000707
71,The Forgotten Village,James-Wood,Historical,2016,9780000000714
72,The Moonlit Road,Olivia-Barnes,Romance,2018,9780000000721
73,The Crimson Crown,Alexander-Ross,Fantasy,2020,9780000000738
74,The Hidden Treasure,Isabella-Henderson,Adventure,2017,9780000000745
75,The Last Detective,Michael-Cole,Mystery,2019,9780000000752
76,The Silent Storm,Sarah-Jenkins,Thriller,2021,9780000000769
77,The Forgotten Planet,Robert-Perry,Science-Fiction,2022,9780000000776
78,The Magic Forest,Laura-Powell,Fantasy,2015,9780000000783
79,The Ancient Secret,Christopher-Long,Historical,2018,9780000000790
80,The Final Mystery,Anna-Patterson,Mystery,2020,9780000000806
81,The Ocean Path,Matthew-Hughes,Adventure,2016,9780000000813
82,The Shadow Castle,Natalie-Flores,Fantasy,2019,9780000000820
83,The Lost Letter,Andrew-Washington,Drama,2017,9780000000837
84,The Star Kingdom,Victoria-Butler,Science-Fiction,2021,9780000000844
85,The Dark Forest,Joseph-Simmons,Horror,2018,9780000000851
86,The Golden Empire,Amelia-Foster,Historical,2015,9780000000868
87,The Silent Castle,Thomas-Gonzalez,Mystery,2022,9780000000875
88,The Last Warrior,Elizabeth-Bryant,Fantasy,2016,9780000000882
89,The Hidden Horizon,George-Alexander,Adventure,2019,9780000000899
90,The Endless Sea,Sophie-Russell,Romance,2020,9780000000905
91,The Crystal Sword,Benjamin-Griffin,Fantasy,2017,9780000000912
92,The Forgotten Star,Charlotte-Diaz,Science-Fiction,2021,9780000000929
93,The Secret Kingdom,Lucas-Hayes,Fantasy,2018,9780000000936
94,The Midnight Door,Evelyn-Myers,Mystery,2019,9780000000943
95,The Final Battle,Jack-Ford,Adventure,2022,9780000000950
96,The Lost Crown,Mia-Hamilton,Historical,2016,9780000000967
97,The Whispering Woods,Noah-Graham,Horror,2020,9780000000974
98,The Last Dream,Harper-Sullivan,Romance,2018,9780000000981
99,The Infinite Journey,Liam-Wallace,Science-Fiction,2021,9780000000998
100,The Forgotten Castle,Emma-Woods,Fantasy,2019,9780000001001
